author,title,description,link,pubDate
U-System,Требуется «Программист Python / Python developer» (от 150 000 ₽),"Компания «U-System» ищет хорошего специалиста на вакансию «Программист Python / Python developer». От 150 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python.",https://career.habr.com/vacancies/1000117880,"Mon, 16 Jan 2023 15:42:09 +0300"
Нуматех,Требуется «Программист Python/Python Developer» (от 150 000 ₽),"Компания «Нуматех» ищет хорошего специалиста на вакансию «Программист Python/Python Developer». От 150 000 ₽. Можно удалённо. Требуемые навыки: #middle, #Python, #Django.",https://career.habr.com/vacancies/1000117909,"Mon, 16 Jan 2023 17:28:54 +0300"
Банк ВТБ,Требуется «Python разработчик»,Компания «Банк ВТБ» ищет хорошего специалиста на вакансию «Python разработчик». Можно удалённо. Требуемые навыки: #Python.,https://career.habr.com/vacancies/1000111721,"Mon, 23 Jan 2023 17:27:45 +0300"
Сбер,Требуется «Python-разработчик» (Сочи),"Компания «Сбер» ищет хорошего специалиста на вакансию «Python-разработчик». Сочи (Россия). Полный рабочий день. Требуемые навыки: #middle, #Python, #JavaScript.",https://career.habr.com/vacancies/1000117794,"Mon, 30 Jan 2023 10:19:27 +0300"
Иннотех,Требуется «Разработчик Python» (Москва),"Компания «Иннотех» ищет хорошего специалиста на вакансию «Разработчик Python». Москва (Россия). Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #ApacheHadoop.",https://career.habr.com/vacancies/1000113778,"Sat, 28 Jan 2023 08:27:30 +0300"
Лаборатория Касперского,Требуется «SDET (Python)» (Москва),"Компания «Лаборатория Касперского» ищет хорошего специалиста на вакансию «SDET (Python)». Москва (Россия). Требуемые навыки: #Python, #Linux.",https://career.habr.com/vacancies/1000118743,"Mon, 30 Jan 2023 14:07:23 +0300"
Онлайн-кинотеатр Иви,Требуется «Python-разработчик» (Москва),"Компания «Онлайн-кинотеатр Иви» ищет хорошего специалиста на вакансию «Python-разработчик». Москва (Россия). Полный рабочий день. Требуемые навыки: #senior, #Python, #Linux.",https://career.habr.com/vacancies/1000102709,"Thu, 19 Jan 2023 14:37:02 +0300"
Промэффект,Требуется «Python разработчик» (от 200 000 до 300 000 ₽),"Компания «Промэффект» ищет хорошего специалиста на вакансию «Python разработчик». От 200 000 ₽ до 300 000 ₽. Неполный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #SOAP, #RESTfulAPI.",https://career.habr.com/vacancies/1000119317,"Tue, 31 Jan 2023 22:56:36 +0300"
КБ «Хлынов»,Требуется «Разработчик python» (от 100 000 ₽),"Компания «КБ «Хлынов»» ищет хорошего специалиста на вакансию «Разработчик python». От 100 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #SQL, #Git.",https://career.habr.com/vacancies/1000118171,"Wed, 18 Jan 2023 09:48:13 +0300"
Aston (ex. Andersen),Требуется «Python Developer»,"Компания «Aston (ex. Andersen)» ищет хорошего специалиста на вакансию «Python Developer». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #FastAPI, #PostgreSQL, #Docker.",https://career.habr.com/vacancies/1000118011,"Tue, 31 Jan 2023 12:10:29 +0300"
ГК Астра,Требуется «Разработчик Python»,"Компания «ГК Астра» ищет хорошего специалиста на вакансию «Разработчик Python». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #PHP, #Linux.",https://career.habr.com/vacancies/1000118959,"Thu, 26 Jan 2023 16:27:48 +0300"
БЮРО 1440,Требуется «Python developer» (Москва),"Компания «БЮРО 1440» ищет хорошего специалиста на вакансию «Python developer». Москва (Россия). Полный рабочий день. Требуемые навыки: #middle, #Python, #Jenkins, #PyQT.",https://career.habr.com/vacancies/1000111477,"Tue, 31 Jan 2023 11:20:58 +0300"
Триафлай,"Требуется «python разработчик» (Москва, до 250 000 ₽)","Компания «Триафлай» ищет хорошего специалиста на вакансию «python разработчик». Москва (Россия). До 250 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #PostgreSQL, #Django, #RabbitMQ.",https://career.habr.com/vacancies/1000117892,"Mon, 16 Jan 2023 16:35:44 +0300"
Aston (ex. Andersen),Требуется «Python Developer» (Москва),"Компания «Aston (ex. Andersen)» ищет хорошего специалиста на вакансию «Python Developer». Москва (Россия), Санкт-Петербург (Россия), Казань (Россия). Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #FastAPI, #PostgreSQL, #Docker.",https://career.habr.com/vacancies/1000118012,"Tue, 31 Jan 2023 12:10:29 +0300"
Sibdev,Требуется «Python-разработчик» (от 80 000 до 120 000 ₽),"Компания «Sibdev» ищет хорошего специалиста на вакансию «Python-разработчик». От 80 000 ₽ до 120 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #junior, #Python, #Django, #Celery, #Redis.",https://career.habr.com/vacancies/1000118105,"Tue, 17 Jan 2023 16:17:22 +0300"
IBS,Требуется «QA Auto (Python)»,"Компания «IBS» ищет хорошего специалиста на вакансию «QA Auto (Python)». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python.",https://career.habr.com/vacancies/1000115047,"Mon, 30 Jan 2023 15:27:17 +0300"
СберМаркет Tech,Требуется «Senior Python developer»,"Компания «СберМаркет Tech» ищет хорошего специалиста на вакансию «Senior Python developer». Можно удалённо. Требуемые навыки: #senior, #Python.",https://career.habr.com/vacancies/1000119308,"Tue, 31 Jan 2023 19:22:26 +0300"
Aston (ex. Andersen),Требуется «Python Developer» (Полоцк),"Компания «Aston (ex. Andersen)» ищет хорошего специалиста на вакансию «Python Developer». Минск (Беларусь), Витебск (Беларусь), Полоцк (Беларусь). Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #Docker, #FastAPI, #PostgreSQL.",https://career.habr.com/vacancies/1000118020,"Tue, 31 Jan 2023 12:31:15 +0300"
InfoWatch,Требуется «Senior Python developer»,"Компания «InfoWatch» ищет хорошего специалиста на вакансию «Senior Python developer». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python.",https://career.habr.com/vacancies/1000110380,"Mon, 30 Jan 2023 01:27:19 +0300"
RAVVI,"Требуется «Python Developer» (Санкт-Петербург, от 180 000 ₽)","Компания «RAVVI» ищет хорошего специалиста на вакансию «Python Developer». Санкт-Петербург (Россия). От 180 000 ₽. Полный рабочий день. Требуемые навыки: #middle, #Python, #Компьютерноезрение.",https://career.habr.com/vacancies/1000119303,"Tue, 31 Jan 2023 18:16:21 +0300"
БЮРО 1440,Требуется «Python developer/QA » (Москва),"Компания «БЮРО 1440» ищет хорошего специалиста на вакансию «Python developer/QA ». Москва (Россия). Полный рабочий день. Требуемые навыки: #middle, #Python.",https://career.habr.com/vacancies/1000118083,"Tue, 17 Jan 2023 15:13:33 +0300"
Первая Грузовая Компания,Требуется «Team Lead разработки (Python)» (от 250 000 ₽),"Компания «Первая Грузовая Компания» ищет хорошего специалиста на вакансию «Team Lead разработки (Python)». От 250 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #lead, #Python.",https://career.habr.com/vacancies/1000115784,"Wed, 01 Feb 2023 15:13:42 +0300"
Сбер,Требуется «Python разработчик (senior)» (Москва),"Компания «Сбер» ищет хорошего специалиста на вакансию «Python разработчик (senior)». Москва (Россия). Полный рабочий день. Требуемые навыки: #senior, #Python.",https://career.habr.com/vacancies/1000116519,"Thu, 26 Jan 2023 15:27:27 +0300"
ГК Eqvanta,Требуется «Разработчик python (Senior/Lead)»,"Компания «ГК Eqvanta» ищет хорошего специалиста на вакансию «Разработчик python (Senior/Lead)». Полный рабочий день. Можно удалённо. Требуемые навыки: #senior, #Python.",https://career.habr.com/vacancies/1000118938,"Wed, 25 Jan 2023 16:41:32 +0300"
Иннотех,Требуется «QA Automation Engineer (Python)»,"Компания «Иннотех» ищет хорошего специалиста на вакансию «QA Automation Engineer (Python)». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python.",https://career.habr.com/vacancies/1000112233,"Tue, 31 Jan 2023 12:49:00 +0300"
ГК «МЕДСИ»,Требуется «Python разработчик» (от 180 000 до 250 000 ₽),"Компания «ГК «МЕДСИ»» ищет хорошего специалиста на вакансию «Python разработчик». От 180 000 ₽ до 250 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #PostgreSQL, #Docker, #SQLalchemy, #FastAPI.",https://career.habr.com/vacancies/1000114631,"Wed, 18 Jan 2023 11:13:21 +0300"
bitBanker.ru,"Требуется «Python developer » (Москва, от 250 000 ₽)","Компания «bitBanker.ru» ищет хорошего специалиста на вакансию «Python developer ». Москва (Россия). От 250 000 ₽. Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #SQL, #Python, #Asyncio, #AIOHTTP, #Blockchain.",https://career.habr.com/vacancies/1000060000,"Wed, 01 Feb 2023 11:17:25 +0300"
CodeItUp,"Требуется «Python разработчик» (Ярославль, от 120 000 до 200 000 ₽)","Компания «CodeItUp» ищет хорошего специалиста на вакансию «Python разработчик». Ярославль (Россия). От 120 000 ₽ до 200 000 ₽. Полный рабочий день. Требуемые навыки: #middle, #Python, #FastAPI, #PostgreSQL, #Django, #Asyncio.",https://career.habr.com/vacancies/1000118397,"Wed, 18 Jan 2023 19:38:37 +0300"
Bell Integrator,Требуется «Разработчик Python» (Москва),"Компания «Bell Integrator» ищет хорошего специалиста на вакансию «Разработчик Python». Москва (Россия), Ростов-на-Дону (Россия), Саратов (Россия). Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #Django, #PostgreSQL, #Celery, #Redis, #Linux, #SQL.",https://career.habr.com/vacancies/1000110313,"Sun, 29 Jan 2023 17:27:04 +0300"
Aston (ex. Andersen),Требуется «Python Developer» (Казань),"Компания «Aston (ex. Andersen)» ищет хорошего специалиста на вакансию «Python Developer». Казань (Россия), Нижний Новгород (Россия), Самара (Россия). Полный рабочий день. Можно удалённо. Требуемые навыки: #senior, #Python, #Django, #AIOHTTP, #Sanic, #FastAPI, #Flask.",https://career.habr.com/vacancies/1000119301,"Tue, 31 Jan 2023 18:16:26 +0300"
ТАСС,Требуется «Middle Python Developer»,"Компания «ТАСС» ищет хорошего специалиста на вакансию «Middle Python Developer». Полный рабочий день. Можно удалённо. Требуемые навыки: #Python, #PostgreSQL.",https://career.habr.com/vacancies/1000093718,"Fri, 13 Jan 2023 13:35:51 +0300"
Магнит,Требуется «Ведущий python-разработчик»,"Компания «Магнит» ищет хорошего специалиста на вакансию «Ведущий python-разработчик». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #SQL.",https://career.habr.com/vacancies/1000117493,"Thu, 26 Jan 2023 16:54:18 +0300"
beeline,Требуется «Python разработчик »,"Компания «beeline» ищет хорошего специалиста на вакансию «Python разработчик ». Можно удалённо. Требуемые навыки: #middle, #Python, #PostgreSQL, #Django, #Docker, #CI/CD.",https://career.habr.com/vacancies/1000119128,"Fri, 27 Jan 2023 15:08:28 +0300"
Иннотех,Требуется «Разработчик Python (Применение моделей)»,"Компания «Иннотех» ищет хорошего специалиста на вакансию «Разработчик Python (Применение моделей)». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #SQL.",https://career.habr.com/vacancies/1000113707,"Fri, 27 Jan 2023 11:30:59 +0300"
АЙСИ ЭЙТ,Требуется «Python Developer»,"Компания «АЙСИ ЭЙТ» ищет хорошего специалиста на вакансию «Python Developer». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #Git, #SQL, #Docker, #Redis, #XML, #HTTP.",https://career.habr.com/vacancies/1000116749,"Wed, 04 Jan 2023 14:41:36 +0300"
Bell Integrator,Требуется «Разработчик Python» (Москва),"Компания «Bell Integrator» ищет хорошего специалиста на вакансию «Разработчик Python». Москва (Россия), Ростов-на-Дону (Россия), Саратов (Россия). Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #Django, #PostgreSQL, #Celery, #Redis, #Linux, #SQL.",https://career.habr.com/vacancies/1000110314,"Sun, 29 Jan 2023 17:27:04 +0300"
dstack,"Требуется «Backend разработчик (Python, удаленно)» (от 3 000 до 5 000 €)","Компания «dstack» ищет хорошего специалиста на вакансию «Backend разработчик (Python, удаленно)». От 3 000 € до 5 000 €. Полный рабочий день. Можно удалённо. Требуемые навыки: #senior, #Python, #DevOps.",https://career.habr.com/vacancies/1000117371,"Thu, 12 Jan 2023 10:28:24 +0300"
Aston (ex. Andersen),Требуется «Python Developer» (Москва),"Компания «Aston (ex. Andersen)» ищет хорошего специалиста на вакансию «Python Developer». Москва (Россия), Санкт-Петербург (Россия), Ростов-на-Дону (Россия). Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #AIOHTTP, #Sanic, #FastAPI, #Django, #Flask, #SQL.",https://career.habr.com/vacancies/1000117885,"Mon, 30 Jan 2023 16:01:23 +0300"
ТАСС,Требуется «Middle/Senior Python Developer»,"Компания «ТАСС» ищет хорошего специалиста на вакансию «Middle/Senior Python Developer». Полный рабочий день. Можно удалённо. Требуемые навыки: #Python, #PostgreSQL.",https://career.habr.com/vacancies/1000093717,"Fri, 13 Jan 2023 13:35:50 +0300"
MarketPapa.ru,Требуется «Python senior»,"Компания «MarketPapa.ru» ищет хорошего специалиста на вакансию «Python senior». Полный рабочий день. Можно удалённо. Требуемые навыки: #senior, #Python, #Django, #FastAPI, #Docker, #RabbitMQ, #PostgreSQL, #ClickHouse.",https://career.habr.com/vacancies/1000117966,"Tue, 17 Jan 2023 09:55:45 +0300"
Okko,Требуется «Старший разработчик Python (платформа экспериментов)»,"Компания «Okko» ищет хорошего специалиста на вакансию «Старший разработчик Python (платформа экспериментов)». Полный рабочий день. Можно удалённо. Требуемые навыки: #senior, #Python.",https://career.habr.com/vacancies/1000113556,"Wed, 01 Feb 2023 11:32:47 +0300"
Т1 Интеграция,Требуется «Разработчик Python (FastApi)»,"Компания «Т1 Интеграция» ищет хорошего специалиста на вакансию «Разработчик Python (FastApi)». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #FastAPI.",https://career.habr.com/vacancies/1000102517,"Thu, 26 Jan 2023 18:59:52 +0300"
Bell Integrator,Требуется «Разработчик Python» (Москва),"Компания «Bell Integrator» ищет хорошего специалиста на вакансию «Разработчик Python». Москва (Россия), Ростов-на-Дону (Россия), Саратов (Россия). Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #Django, #PostgreSQL, #Celery, #Redis, #Linux, #SQL.",https://career.habr.com/vacancies/1000110312,"Sun, 29 Jan 2023 17:27:02 +0300"
Сбер,"Требуется «Python-разработчик (Платформа Linux)» (Москва, от 250 000 до 350 000 ₽)","Компания «Сбер» ищет хорошего специалиста на вакансию «Python-разработчик (Платформа Linux)». Москва (Россия). От 250 000 ₽ до 350 000 ₽. Полный рабочий день. Требуемые навыки: #senior, #Python, #Linux.",https://career.habr.com/vacancies/1000112536,"Sun, 29 Jan 2023 13:55:46 +0300"
Aston (ex. Andersen),Требуется «Python Developer»,"Компания «Aston (ex. Andersen)» ищет хорошего специалиста на вакансию «Python Developer». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #AIOHTTP, #Sanic, #FastAPI, #Flask, #Django, #SQL.",https://career.habr.com/vacancies/1000117884,"Mon, 30 Jan 2023 16:01:23 +0300"
Synaptik,Требуется «Python разработчик » (от 180 000 до 220 000 ₽),"Компания «Synaptik» ищет хорошего специалиста на вакансию «Python разработчик ». От 180 000 ₽ до 220 000 ₽. Можно удалённо. Требуемые навыки: #senior, #Python, #SQL, #RESTfulAPI, #Docker, #ООП.",https://career.habr.com/vacancies/1000118036,"Tue, 17 Jan 2023 13:21:53 +0300"
Aston (ex. Andersen),Требуется «Python Developer» (Москва),"Компания «Aston (ex. Andersen)» ищет хорошего специалиста на вакансию «Python Developer». Москва (Россия), Санкт-Петербург (Россия), Ростов-на-Дону (Россия). Полный рабочий день. Можно удалённо. Требуемые навыки: #senior, #Python, #Django, #AIOHTTP, #Sanic, #FastAPI, #Flask.",https://career.habr.com/vacancies/1000119302,"Tue, 31 Jan 2023 18:16:26 +0300"
Первая Грузовая Компания,Требуется «Python developer»,"Компания «Первая Грузовая Компания» ищет хорошего специалиста на вакансию «Python developer». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #Django, #SQL, #Oracle, #Git, #Docker, #PostgreSQL.",https://career.habr.com/vacancies/1000086049,"Mon, 09 Jan 2023 12:20:38 +0300"
Группа «Самолет»,Требуется «Python (Django) Developer (удалённо)»,"Компания «Группа «Самолет»» ищет хорошего специалиста на вакансию «Python (Django) Developer (удалённо)». Полный рабочий день. Можно удалённо. Требуемые навыки: #middle, #Python, #Django, #PostgreSQL.",https://career.habr.com/vacancies/1000107830,"Mon, 30 Jan 2023 12:53:28 +0300"
Лаборатория Касперского,Требуется «Python Developer (Asgard)» (Москва),"Компания «Лаборатория Касперского» ищет хорошего специалиста на вакансию «Python Developer (Asgard)». Москва (Россия). Требуемые навыки: #Разработкапрограммногообеспечения, #Python.",https://career.habr.com/vacancies/1000115828,"Wed, 25 Jan 2023 18:03:44 +0300"
